0,1
2,23365
3,13243
4,8894
5,14196
6,2261
7,13975
8,30669
9,8378
10,28223
13,2096
14,7512
15,25874
16,18466
19,27246
20,3576
21,20047
24,21927
29,27562
30,9067
32,16449
33,30425
36,17537
37,5301
40,7353
41,6208
43,10886
46,2268
50,5145
51,6950
52,27678
53,27245
54,23828
55,17628
57,5061
64,12841
65,20708
66,6278
67,14732
69,26997
70,8205
73,14556
74,26397
75,25939
76,3980
80,2399
81,4831
82,19364
83,27739
85,2054
87,2522
90,25831
91,1609
94,11022
98,25254
102,25998
103,15672
108,18372
109,10417
111,31068
112,22720
115,25859
117,3352
118,13907
124,25499
126,26932
128,29858
129,27362
131,643
132,2430
135,22424
140,19498
142,12441
144,9930
145,3343
146,31396
148,15782
151,10369
154,18421
156,17821
158,379
160,653
162,29371
163,18669
164,10835
165,4156
166,8424
167,10377
169,31923
170,10752
171,26417
175,22142
176,26569
177,6357
179,11797
181,26799
182,4352
183,22558
184,23673
185,17520
190,21464
192,10825
193,31542
196,1576
199,4906
200,369
203,19915
204,16184
205,14676
206,32352
207,2266
209,822
216,30551
217,12570
218,12560
225,16227
229,9535
230,26410
233,2673
234,24784
236,24458
240,3882
241,8695
244,12483
246,23973
248,32768
249,30805
251,29799
252,24651
253,17070
262,22140
263,10347
264,27497
265,28809
267,2023
269,26963
271,13000
274,10969
275,26279
276,22709
277,32285
280,12304
284,4438
285,29649
286,1492
288,15657
289,22776
290,20933
292,6940
295,6470
297,18508
298,29728
299,22673
301,26790
315,20379
318,9412
323,19180
324,1402
325,25353
326,26593
327,18952
329,5487
330,31824
332,21459
336,11061
337,9427
338,24307
339,4019
342,13172
343,11275
344,17657
346,4817
347,6698
349,4988
351,14470
352,12997
355,4732
358,7429
359,2261
360,12993
362,23303
364,31126
365,8164
367,15096
371,15744
375,7506
378,11409
380,24245
381,2884
384,17
385,6404
389,20757
390,24918
392,32373
393,23633
394,20278
395,11899
397,8326
399,14709
400,29943
401,16132
404,8402
405,8665
406,23039
407,12942
408,24699
412,6941
413,24520
415,12263
416,23048
417,16365
419,12369
420,22421
421,25843
424,13631
425,21720
427,23541
428,27982
429,12942
431,22449
432,10024
434,10254
437,4139
438,11250
439,3258
441,31884
444,26804
445,7951
446,15246
447,2493
449,32024
450,13202
453,20971
454,9430
456,13188
457,20333
462,11353
463,7788
466,29302
